team,Standard_Sh,Standard_SoT,Touches_Att 3rd,Touches_Att Pen,Expected_xG
vs Arsenal,359,117,4397,632,34.4
vs Aston Villa,460,153,5515,886,50.1
vs Bournemouth,483,168,5446,934,48.5
vs Brentford,646,206,7103,1189,55.4
vs Brighton,418,138,4374,877,54.6
vs Chelsea,392,149,4232,771,47.3
vs Crystal Palace,481,148,6291,904,49.1
vs Everton,478,161,6229,931,46.2
vs Fulham,429,155,5271,825,47.2
vs Ipswich Town,601,204,7443,1168,72.7
vs Leicester City,639,205,7106,1214,71.9
vs Liverpool,385,136,4492,779,38.6
vs Manchester City,351,124,3783,699,47.7
vs Manchester Utd,411,145,5437,800,53.8
vs Newcastle Utd,471,159,5732,888,45.5
vs Nott'ham Forest,528,162,7047,1068,48.9
vs Southampton,672,236,7290,1263,84.8
vs Tottenham,519,177,5517,994,63.3
vs West Ham,580,183,6620,1094,59.7
vs Wolves,464,159,6274,982,58.1
